States,Diabetes Status,Age Group,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,,35-49 Years,2,5,3,5,3,2,2,5,2,4,5,3,4,1,2,5,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,6,4,2,3,4,4,3,0,4,1,4,7,10,3,2,3,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,2,0,0,0,0,0,0,0,0,0,2,5,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,91,98,104,84,115,65,91,68,54,83,61,53,55,66,75,69,53,36,24,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,2,1,1,1,0,3,3,1,0,1,1,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,17,23,21,12,25,13,16,10,9,16,15,11,14,13,11,12,7,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,39,44,49,51,65,31,42,35,30,48,33,29,24,39,53,40,34,23,16,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,,65 +,33,30,33,20,25,18,30,22,15,18,12,12,16,13,9,15,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,4,7,8,4,6,2,4,4,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,4,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,2,2,1,3,1,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,0,3,1,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,1,1,2,0,0,1,2,3,5,22,35,55,54,45,49,49,36,36,39,31,20,24,1,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,5,2,5,3,3,4,2,0,6,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,4,12,15,11,10,15,13,9,13,12,11,5,6,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,3,13,17,28,34,27,22,27,17,18,19,15,12,11,1,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,6,10,4,3,10,4,7,2,4,3,3,1,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,6,8,22,38,128,172,168,163,153,119,131
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,1,2,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,9,4,7,8,7
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,5,10,38,55,52,44,46,31,45
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,14,16,47,61,66,63,53,54,54
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,10,30,33,40,40,34,23,23
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,8,8,0,5,7,0,1
Maine,All Diabetes,All Recipient Ages,37,45,51,45,41,42,52,36,44,55,38,45,46,41,58,44,57,69,50,58,61,58,83,57,53,50,32,31,33,47,31,31,44,40,41,35
,,1-5 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,11-17 Years,1,1,3,1,1,5,2,0,0,2,0,0,2,0,0,0,3,3,1,3,4,1,1,0,1,1,0,1,2,1,1,0,2,2,1,2
,,18-34 Years,2,6,1,5,5,8,3,3,3,6,4,9,13,3,8,6,9,13,12,6,12,6,18,14,12,9,7,10,11,15,7,10,10,13,20,10
,,35-49 Years,1,13,11,8,10,10,15,8,12,13,11,11,12,11,21,13,18,16,17,14,25,21,32,18,17,19,12,13,10,18,12,15,20,15,8,12
,,50-64 Years,17,14,22,21,14,13,23,17,20,20,19,19,14,21,26,16,16,27,14,27,14,27,19,20,15,14,11,7,8,11,10,6,11,10,10,11
,,65 +,15,11,13,9,11,6,9,8,9,13,4,4,5,6,3,8,9,9,6,8,6,3,13,5,8,7,2,0,2,2,1,0,1,0,1,0
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,20,35,37,33,24,30,31,27,33,44,25,33,37,32,38,35,41,55,40,45,41,40,63,34,39,37,23,19,20,10,1,0,0,0,0,0
,,1-5 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,1,1,3,1,1,5,2,0,0,2,0,0,2,0,0,0,3,3,1,3,4,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0
,,18-34 Years,2,6,1,5,4,8,2,3,3,6,4,9,12,3,7,5,8,13,12,4,10,4,15,10,9,8,6,8,7,3,0,0,0,0,0,0
,,35-49 Years,0,11,11,6,7,6,12,6,10,12,7,9,9,8,13,11,12,13,16,10,17,15,25,12,12,12,8,6,6,3,1,0,0,0,0,0
,,50-64 Years,9,10,11,13,8,8,11,13,14,13,12,12,9,18,16,12,8,17,8,20,8,17,11,10,11,10,7,4,4,3,0,0,0,0,0,0
,,65 +,7,7,10,7,4,3,4,5,6,10,2,1,5,3,2,6,8,8,3,8,2,3,11,2,6,6,2,0,1,1,0,0,0,0,0,0
,Type I,All Recipient Ages,5,2,2,3,3,2,3,4,2,2,5,3,3,4,10,3,6,3,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,18-34 Years,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,,35-49 Years,1,1,0,0,0,2,1,2,0,1,3,1,2,1,5,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,2,0,2,2,0,0,2,2,2,1,2,2,0,2,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,10,7,11,9,14,10,18,5,9,9,8,9,6,5,10,6,9,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,0,1,0,2,3,2,2,0,2,0,1,1,1,2,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,5,3,8,6,6,5,10,2,4,6,5,5,5,1,6,3,5,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,5,3,3,1,5,3,5,3,3,3,2,3,0,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,20,18,20,23,14,12,9,11,10,6,1,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,4,3,1,1,2,2,1,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,7,6,5,6,4,6,4,4,1,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,10,8,10,4,4,4,3,3,1,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,3,2,1,0,0,1,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,31,28,31,44,40,41,35
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,1,2
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6,10,10,13,20,10
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,10,15,20,15,8,12
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,10,6,11,10,10,11
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Maryland,All Diabetes,All Recipient Ages,330,404,417,360,394,440,432,418,518,500,495,503,462,418,505,388,430,449,403,403,363,447,569,603,518,378,318,285,242,205,194,149,111,91,91,106
,,1-5 Years,2,3,1,1,2,1,0,6,2,3,3,1,3,2,2,0,2,1,0,0,2,2,2,1,1,1,0,2,0,1,2,0,1,1,1,1
,,6-10 Years,2,0,1,4,2,2,1,0,2,1,1,1,1,3,7,2,2,1,4,2,2,3,3,1,2,4,1,2,1,4,2,2,2,0,1,1
,,11-17 Years,3,4,5,4,5,8,5,2,6,7,7,7,5,3,2,7,4,9,7,8,9,6,9,5,7,11,6,5,8,5,3,3,2,2,3,2
,,18-34 Years,26,30,40,37,34,34,30,45,46,42,50,52,49,47,65,43,52,58,60,55,54,63,90,90,102,49,60,57,38,46,45,40,27,28,23,41
,,35-49 Years,59,101,89,77,90,112,100,104,121,126,114,132,115,112,139,104,121,120,128,139,108,139,184,207,175,146,116,107,111,69,80,60,49,35,40,40
,,50-64 Years,159,165,174,140,159,196,192,167,214,186,198,208,183,171,189,165,174,184,142,147,144,163,213,223,177,122,109,90,69,67,57,41,24,23,23,18
,,65 +,79,101,107,97,102,87,104,94,127,135,122,102,106,80,101,67,75,76,62,52,44,71,68,76,54,45,26,22,15,13,5,3,6,2,0,3
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,6,9,20,19,17,19,16,13,13,3,0,0,1,0,3,0,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,8,3,1,1,0,0,0,0,0,2,0,0,0,0,0,0
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,6,5,3,6,5,2,0,0,1,0,0,0,0,0,0,0,0
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,3,8,5,6,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,203,264,279,233,257,282,260,296,317,300,319,351,314,289,326,264,280,296,277,256,226,291,361,385,343,239,194,160,115,29,0,0,0,0,1,0
,,1-5 Years,2,3,1,1,2,1,0,6,2,3,3,1,3,2,2,0,1,0,0,0,1,2,2,1,1,1,0,2,0,0,0,0,0,0,0,0
,,6-10 Years,2,0,1,4,2,2,1,0,2,1,1,1,0,3,7,2,2,1,2,2,2,3,3,0,2,4,0,2,1,2,0,0,0,0,0,0
,,11-17 Years,3,4,5,4,5,8,5,2,6,7,7,7,5,3,2,7,2,9,7,6,8,5,9,5,7,11,6,3,4,1,0,0,0,0,0,0
,,18-34 Years,25,28,38,34,33,29,25,40,41,38,48,49,43,44,61,39,49,42,52,45,37,51,68,73,83,33,43,40,20,10,0,0,0,0,0,0
,,35-49 Years,48,87,67,58,72,82,83,81,88,87,88,115,95,93,108,88,94,98,92,99,76,95,121,143,119,96,71,59,54,8,0,0,0,0,0,0
,,50-64 Years,89,95,110,77,90,118,111,111,118,102,102,117,113,101,100,95,91,101,86,79,80,90,122,123,102,63,58,45,29,7,0,0,0,0,1,0
,,65 +,34,47,57,55,53,42,35,56,60,62,70,61,55,43,46,33,41,45,38,25,22,45,36,40,29,31,16,9,7,1,0,0,0,0,0,0
,Type I,All Recipient Ages,11,5,9,10,5,14,13,10,15,20,19,21,23,16,40,26,32,31,15,11,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,1,1,0,1,0,2,3,0,2,1,1,3,5,1,3,2,2,9,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,35-49 Years,4,1,3,3,3,6,5,6,6,5,7,1,5,4,15,6,8,8,10,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,3,2,5,4,2,5,4,2,6,13,10,16,10,11,15,14,18,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,3,1,1,2,0,1,1,2,1,1,1,1,2,0,7,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,102,113,110,95,113,127,148,110,183,178,155,129,122,102,115,82,84,55,48,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,1,1,1,1,3,2,4,3,3,1,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,6,10,14,13,13,22,11,17,25,34,19,16,15,12,12,8,11,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,57,56,56,48,55,61,73,53,90,69,85,74,59,57,60,46,50,35,28,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,39,46,39,33,44,41,62,36,65,72,50,39,47,31,43,26,22,15,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,14,21,19,20,17,17,11,2,2,0,0,1,1,2,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,1,3,5,2,2,2,1,0,1,0,0,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,10,12,3,10,10,12,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,3,6,10,7,5,3,6,0,1,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,1,0,2,2,0,0,0,1,2,2,1,2,6,6,10,23,45,43,101,118,138,193,195,147,106,91,68,46,13,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,9,21,14,14,9,10,10,5,4,0,0,0,0,0,0
,,35-49 Years,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,6,6,12,24,27,41,55,55,47,35,32,22,18,1,0,0,0,0,0,0
,,50-64 Years,0,0,0,1,2,0,0,0,0,2,1,1,1,1,5,6,11,30,19,51,60,67,86,92,64,52,40,28,18,8,0,0,0,0,0,0
,,65 +,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,3,6,9,10,21,21,21,31,34,22,10,9,7,5,0,0,0,0,0,0,0
,Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,8,25,33,33,56,81,159,194,149,111,91,90,106
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,1
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,2,0,1,1
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,3,2,2,3,2
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,7,7,7,13,29,45,40,27,28,23,41
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,15,13,25,39,60,80,60,49,35,40,40
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,11,7,11,17,22,52,57,41,24,23,22,18
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,1,6,3,12,5,3,6,2,0,3
Massachusetts,All Diabetes,All Recipient Ages,499,609,530,427,540,500,489,485,428,452,417,376,389,438,447,397,452,451,439,412,404,358,395,348,323,337,379,365,332,345,322,327,350,340,353,308
,,< 1 Year,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,,1-5 Years,5,2,7,3,9,6,14,4,11,10,3,6,11,9,6,10,4,3,1,2,4,5,1,2,3,3,7,3,2,0,3,6,6,3,3,6
,,6-10 Years,5,4,5,1,5,9,5,4,2,3,4,6,7,2,4,8,2,5,8,4,2,7,0,4,2,5,2,7,6,2,7,1,9,3,4,5
,,11-17 Years,9,6,18,12,6,10,14,15,13,19,13,12,11,13,19,10,13,11,11,9,9,15,14,7,10,10,11,11,13,11,7,5,8,13,12,15
,,18-34 Years,30,57,55,52,67,72,55,55,59,50,51,48,38,52,61,55,57,48,60,70,66,59,74,75,63,61,87,73,68,79,93,94,100,97,105,99
,,35-49 Years,105,136,127,110,102,117,110,118,111,92,95,75,105,109,128,113,135,149,128,112,128,123,130,115,116,121,138,138,123,141,103,121,120,111,134,117
,,50-64 Years,207,252,200,169,211,185,183,193,143,193,166,174,149,174,152,144,174,166,165,173,150,122,136,117,111,115,121,105,94,94,94,85,99,99,86,63
,,65 +,138,152,118,80,140,101,108,96,89,84,85,54,68,79,77,56,67,69,66,42,45,27,40,28,18,22,13,28,26,17,14,15,8,14,9,3
,Diabetes Status Unknown,All Recipient Ages,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,4,0,5,3,1,1,3,7,4,1,3,0,1,1,1,3,4,4,6
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,2,1,0,0,2,0,1,0,0,0,1,0,3
,,35-49 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,1,2,3
,,50-64 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,3,2,0,0,1,3,1,1,0,0,0,0,1,3,2,2,0
,,65 +,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,No,All Recipient Ages,329,422,362,304,371,353,351,330,325,317,280,255,264,309,313,272,313,328,303,280,279,264,280,252,224,231,243,218,181,75,6,3,4,1,1,1
,,< 1 Year,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,1-5 Years,5,2,7,3,9,6,14,4,11,10,3,6,11,9,5,10,4,3,1,2,4,5,1,2,3,3,7,3,2,0,1,0,0,0,0,0
,,6-10 Years,5,4,5,1,5,9,5,4,2,3,4,6,7,2,4,8,2,5,8,4,2,6,0,4,2,5,2,7,6,1,0,0,0,0,0,0
,,11-17 Years,9,6,18,12,6,10,14,14,13,19,13,12,11,13,19,9,12,11,11,9,8,15,14,7,10,10,9,10,12,6,0,0,0,0,0,0
,,18-34 Years,25,55,51,49,62,63,48,51,56,44,43,43,37,48,56,50,53,45,50,59,61,50,65,59,57,48,61,49,44,23,2,3,3,1,1,1
,,35-49 Years,80,106,95,89,88,89,89,93,93,71,74,60,83,86,98,80,100,120,89,81,86,89,88,83,76,77,83,77,56,30,3,0,1,0,0,0
,,50-64 Years,131,161,117,103,124,125,121,111,97,121,97,95,83,113,89,84,107,111,105,103,87,82,86,80,65,76,73,56,48,12,0,0,0,0,0,0
,,65 +,74,88,69,47,77,51,60,53,53,48,46,32,32,38,42,30,35,33,39,22,31,17,26,17,11,12,8,16,13,3,0,0,0,0,0,0
,Type I,All Recipient Ages,25,18,21,13,17,24,20,22,23,27,22,20,15,28,26,36,35,30,33,13,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
,,1-5 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,5,0,2,1,3,4,2,2,2,4,5,2,0,2,0,2,2,1,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,,35-49 Years,9,8,9,6,4,11,8,7,10,9,9,6,9,12,14,19,21,16,17,6,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,9,10,8,5,10,6,7,8,9,13,8,11,4,11,10,12,10,10,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,2,0,2,1,0,3,3,5,2,1,0,1,2,3,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type II,All Recipient Ages,129,156,136,106,146,120,114,129,76,100,106,94,102,92,92,74,73,46,40,17,7,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
,,18-34 Years,0,2,1,1,2,4,4,2,1,0,0,3,1,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
,,35-49 Years,13,21,20,14,8,17,13,17,8,12,11,5,12,9,14,12,7,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,62,74,71,60,75,52,53,72,35,56,57,65,57,44,46,38,45,21,21,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,54,59,44,31,61,47,44,38,32,32,38,21,32,37,28,22,21,18,11,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Other,All Recipient Ages,16,13,11,4,4,3,2,2,1,2,3,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,18-34 Years,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,35-49 Years,3,1,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,50-64 Years,5,7,4,1,2,2,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,65 +,8,5,3,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Type Unknown,All Recipient Ages,0,0,0,0,2,0,2,2,3,6,6,7,6,7,12,12,27,42,60,94,105,91,108,83,83,82,74,64,52,29,0,0,0,1,0,0
,,6-10 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,11-17 Years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,,18-34 Years,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,2,6,4,8,8,12,4,9,10,11,7,12,0,0,0,1,0,0
